EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	10:46:09	0	0.1000	1.8267956092132358	0.9397402405738831	0.7985	0.7646	0.7812
2	10:50:41	0	0.1000	1.0175643948706117	0.7946958541870117	0.8218	0.7720	0.7961
3	10:54:59	0	0.1000	0.9110948578931215	0.8639770150184631	0.7962	0.8186	0.8073
4	10:59:14	0	0.1000	0.8527964209536398	0.7452898025512695	0.7988	0.8204	0.8095
5	11:03:32	1	0.1000	0.7970064148658843	0.7091756463050842	0.8236	0.7887	0.8058
6	11:07:21	0	0.1000	0.7614929651709523	0.6781343817710876	0.8452	0.7830	0.8129
7	11:11:47	1	0.1000	0.735098171744525	0.7094601392745972	0.8111	0.8056	0.8083
8	11:15:44	0	0.1000	0.7078683045436078	0.6701003909111023	0.8259	0.8267	0.8263
9	11:20:06	0	0.1000	0.6846774017775622	0.6495009660720825	0.8313	0.8237	0.8275
10	11:24:16	1	0.1000	0.669442105774335	0.6869414448738098	0.8123	0.8338	0.8229
11	11:28:05	2	0.1000	0.6497795082863391	0.6937256455421448	0.8006	0.8364	0.8181
12	11:31:51	0	0.1000	0.6293837760582449	0.6661261916160583	0.8247	0.8394	0.8320
13	11:36:03	1	0.1000	0.6174940818583402	0.6525617837905884	0.8365	0.8231	0.8297
14	11:39:56	2	0.1000	0.6079269241042963	0.6958867311477661	0.8057	0.8418	0.8233
15	11:43:47	3	0.1000	0.5854691925539276	0.6437889933586121	0.8374	0.8258	0.8316
16	11:47:32	0	0.1000	0.5734521980126073	0.6616748571395874	0.8344	0.8362	0.8353
17	11:51:43	0	0.1000	0.5692518174237623	0.6479460597038269	0.8212	0.8504	0.8355
18	11:56:00	1	0.1000	0.5531758505293703	0.6562451720237732	0.8441	0.8180	0.8309
19	11:59:50	2	0.1000	0.5432609492458227	0.6560044288635254	0.8277	0.8270	0.8273
20	12:03:49	0	0.1000	0.5333102197481656	0.6396918296813965	0.8410	0.8353	0.8381
21	12:08:03	1	0.1000	0.5189961725332606	0.6604310870170593	0.8430	0.8320	0.8375
22	12:12:06	2	0.1000	0.5112134356961007	0.6594527959823608	0.8341	0.8225	0.8283
23	12:15:51	3	0.1000	0.4983120188997017	0.6315038800239563	0.8368	0.8234	0.8300
24	12:19:38	4	0.1000	0.49740988849185586	0.665920615196228	0.8197	0.8421	0.8307
25	12:23:43	1	0.0500	0.45516290157798706	0.6394016742706299	0.8340	0.8409	0.8374
26	12:27:49	2	0.0500	0.44831633597143056	0.6489173173904419	0.8337	0.8350	0.8343
27	12:31:39	0	0.0500	0.43764340326072665	0.6397359371185303	0.8366	0.8498	0.8432
28	12:36:05	1	0.0500	0.4226921347518063	0.6324001550674438	0.8427	0.8397	0.8412
29	12:40:14	2	0.0500	0.4272144164332724	0.6540499925613403	0.8349	0.8391	0.8370
30	12:44:05	3	0.0500	0.42047900562797946	0.6667750477790833	0.8322	0.8477	0.8399
31	12:47:48	4	0.0500	0.41037736821362353	0.6615713834762573	0.8375	0.8356	0.8366
32	12:51:34	0	0.0250	0.3994253089314136	0.6555168032646179	0.8390	0.8489	0.8439
33	12:55:51	1	0.0250	0.3854371322186913	0.6599246263504028	0.8365	0.8415	0.8390
34	12:59:49	2	0.0250	0.3852252991884712	0.6545177698135376	0.8405	0.8430	0.8417
35	13:04:00	3	0.0250	0.3827342657211024	0.6682301759719849	0.8397	0.8445	0.8421
