EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	18:51:01	0	0.1000	0.962113735704929	0.46064499020576477	0.8393	0.7014	0.7642
2	18:52:01	0	0.1000	0.604360883477433	0.4368361830711365	0.8468	0.7169	0.7765
3	18:53:02	0	0.1000	0.5242929398670964	0.39089077711105347	0.8692	0.7406	0.7998
4	18:54:01	0	0.1000	0.47031270888173715	0.3764047920703888	0.8250	0.8137	0.8193
5	18:55:03	0	0.1000	0.4387586071402177	0.36050039529800415	0.8666	0.7772	0.8195
6	18:56:03	0	0.1000	0.4079208037890922	0.35387134552001953	0.8429	0.8037	0.8228
7	18:57:06	0	0.1000	0.3777237059655546	0.3399207890033722	0.8620	0.7927	0.8259
8	18:58:07	0	0.1000	0.3555401398789609	0.33144229650497437	0.8515	0.8219	0.8364
9	18:59:07	1	0.1000	0.34950345501988783	0.3487691879272461	0.8515	0.7909	0.8201
10	18:59:56	0	0.1000	0.34216809247074453	0.33246350288391113	0.8803	0.7991	0.8377
11	19:00:56	0	0.1000	0.3193659229182649	0.32898926734924316	0.8567	0.8247	0.8404
12	19:01:56	1	0.1000	0.31101303089452886	0.3432435095310211	0.8726	0.8009	0.8352
13	19:02:44	2	0.1000	0.291954624241796	0.3458954989910126	0.8373	0.8274	0.8323
14	19:03:34	0	0.1000	0.2752197977026989	0.3393193185329437	0.8643	0.8320	0.8478
15	19:04:34	1	0.1000	0.276394702301457	0.33917561173439026	0.8483	0.8429	0.8456
16	19:05:23	2	0.1000	0.2527013051526985	0.35364198684692383	0.8616	0.8301	0.8456
17	19:06:12	3	0.1000	0.250759105444297	0.3550527095794678	0.8731	0.8228	0.8472
18	19:07:01	4	0.1000	0.23804838266009573	0.3593641221523285	0.8729	0.8219	0.8467
19	19:07:50	0	0.0500	0.22960968426931863	0.3481340706348419	0.8844	0.8247	0.8535
20	19:08:50	0	0.0500	0.2107348858282484	0.34163445234298706	0.8608	0.8530	0.8569
21	19:09:50	1	0.0500	0.20333859491451034	0.34658485651016235	0.8648	0.8411	0.8528
22	19:10:39	2	0.0500	0.2042037275159496	0.35522228479385376	0.8353	0.8566	0.8458
23	19:11:27	3	0.0500	0.19060559033405508	0.3513791561126709	0.8659	0.8429	0.8542
24	19:12:16	4	0.0500	0.18922148756254678	0.33978137373924255	0.8649	0.8420	0.8533
25	19:13:05	0	0.0250	0.1894511696507876	0.3391745686531067	0.8810	0.8384	0.8591
26	19:14:05	0	0.0250	0.18185936535398164	0.3419705033302307	0.8678	0.8511	0.8594
27	19:15:05	1	0.0250	0.17981837520739813	0.34342142939567566	0.8681	0.8475	0.8577
28	19:15:54	0	0.0250	0.1661015227008825	0.34256526827812195	0.8783	0.8502	0.8640
29	19:16:54	1	0.0250	0.17339946319959287	0.34440022706985474	0.8741	0.8429	0.8582
30	19:17:44	2	0.0250	0.1761106419237866	0.3466534912586212	0.8859	0.8365	0.8605
31	19:18:32	3	0.0250	0.16760514111354433	0.34632351994514465	0.8670	0.8457	0.8562
32	19:19:21	4	0.0250	0.1601794422871765	0.3481025695800781	0.8790	0.8356	0.8567
33	19:20:10	1	0.0125	0.15080420030602093	0.3514959514141083	0.8734	0.8502	0.8616
34	19:20:59	2	0.0125	0.15789649230909758	0.3526914417743683	0.8838	0.8402	0.8614
35	19:21:48	3	0.0125	0.15916299300760717	0.3510608673095703	0.8790	0.8429	0.8606
36	19:22:36	4	0.0125	0.16356091467856332	0.3475954830646515	0.8721	0.8530	0.8624
37	19:23:26	1	0.0063	0.159721659164576	0.3515019714832306	0.8818	0.8384	0.8596
38	19:24:14	2	0.0063	0.15355226945603032	0.3482930064201355	0.8793	0.8447	0.8617
39	19:25:03	0	0.0063	0.15981769277018376	0.34935837984085083	0.8822	0.8484	0.8650
40	19:26:03	1	0.0063	0.1509036942460071	0.3504696786403656	0.8833	0.8429	0.8626
41	19:26:52	2	0.0063	0.15402423980078478	0.34796977043151855	0.8782	0.8493	0.8635
42	19:27:41	3	0.0063	0.1525500000550829	0.34874892234802246	0.8801	0.8447	0.8621
43	19:28:30	4	0.0063	0.16139105140049567	0.3477100431919098	0.8806	0.8484	0.8642
44	19:29:19	1	0.0031	0.15126742311250205	0.3496388792991638	0.8827	0.8457	0.8638
45	19:30:08	0	0.0031	0.15275783481440325	0.3477456867694855	0.8822	0.8484	0.8650
46	19:31:08	1	0.0031	0.1494313546285119	0.3483605682849884	0.8803	0.8466	0.8631
47	19:31:56	2	0.0031	0.15714264013429827	0.3482280373573303	0.8781	0.8484	0.8630
48	19:32:45	3	0.0031	0.1466100536201192	0.3516472280025482	0.8799	0.8429	0.8610
49	19:33:34	0	0.0031	0.1547845042385589	0.3497977554798126	0.8801	0.8511	0.8654
50	19:34:34	1	0.0031	0.14565710063980913	0.3493841886520386	0.8798	0.8493	0.8643
51	19:35:23	2	0.0031	0.1501189175265274	0.35108596086502075	0.8767	0.8438	0.8599
52	19:36:12	3	0.0031	0.14435363344676877	0.35197392106056213	0.8763	0.8411	0.8583
53	19:37:01	4	0.0031	0.14809572163583903	0.35320237278938293	0.8779	0.8402	0.8586
54	19:37:50	1	0.0016	0.14860754920405217	0.35234490036964417	0.8764	0.8420	0.8589
55	19:38:39	2	0.0016	0.1498958000420839	0.3526459038257599	0.8764	0.8420	0.8589
56	19:39:28	3	0.0016	0.1489803523210616	0.3521035611629486	0.8751	0.8447	0.8597
57	19:40:16	4	0.0016	0.15147701498848953	0.353817880153656	0.8787	0.8402	0.8590
58	19:41:05	1	0.0008	0.1436427410199553	0.35315123200416565	0.8764	0.8420	0.8589
59	19:41:54	2	0.0008	0.15335334687568675	0.3527935743331909	0.8765	0.8429	0.8594
60	19:42:43	3	0.0008	0.15242156544807314	0.3525655269622803	0.8750	0.8438	0.8591
61	19:43:32	4	0.0008	0.15052733543575153	0.3523768186569214	0.8768	0.8447	0.8605
62	19:44:21	1	0.0004	0.15684500884735722	0.35217800736427307	0.8787	0.8466	0.8623
63	19:45:10	2	0.0004	0.15184299056899958	0.3522510528564453	0.8776	0.8447	0.8609
64	19:45:59	3	0.0004	0.1399903865745184	0.352213591337204	0.8759	0.8447	0.8601
65	19:46:48	4	0.0004	0.15658483439093007	0.35222193598747253	0.8758	0.8438	0.8595
66	19:47:37	1	0.0002	0.14265635853697514	0.3525366485118866	0.8756	0.8420	0.8585
67	19:48:25	2	0.0002	0.1544698653207428	0.3525489568710327	0.8756	0.8420	0.8585
68	19:49:14	3	0.0002	0.15379946747387963	0.3523945212364197	0.8757	0.8429	0.8590
69	19:50:03	4	0.0002	0.1476884929184941	0.3523598313331604	0.8757	0.8429	0.8590
