EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	17:18:37	0	0.1000	2.5899797086122223	0.8323075175285339	0.7025	0.5132	0.5931
2	17:19:23	0	0.1000	1.3875920706824667	0.5452154874801636	0.7817	0.7260	0.7528
3	17:20:09	1	0.1000	1.206699710317898	0.7929700016975403	0.6473	0.7744	0.7052
4	17:20:53	0	0.1000	1.0827097571829611	0.5563276410102844	0.7650	0.7936	0.7790
5	17:21:38	0	0.1000	0.9681789170436818	0.5041687488555908	0.7826	0.7954	0.7889
6	17:22:24	1	0.1000	0.9536696619343483	0.6126798987388611	0.7100	0.7826	0.7446
7	17:23:08	0	0.1000	0.9285601996682884	0.47461795806884766	0.8093	0.7945	0.8018
8	17:23:53	1	0.1000	0.8551480501205072	0.49918922781944275	0.7653	0.7863	0.7757
9	17:24:38	0	0.1000	0.8110717023326748	0.45594578981399536	0.8542	0.7598	0.8043
10	17:25:23	1	0.1000	0.7562190304114216	0.4638822078704834	0.8123	0.7744	0.7929
11	17:26:07	2	0.1000	0.7499906399833232	0.44905078411102295	0.8588	0.7498	0.8006
12	17:26:51	3	0.1000	0.734513663526239	0.4487767517566681	0.8387	0.7406	0.7866
13	17:27:35	0	0.1000	0.6709464407772169	0.419144868850708	0.8368	0.7772	0.8059
14	17:28:21	0	0.1000	0.6436677687940584	0.4259936213493347	0.8060	0.8274	0.8166
15	17:29:06	1	0.1000	0.6449932381510735	0.47736263275146484	0.7791	0.7890	0.7840
16	17:29:50	2	0.1000	0.6371496490620333	0.4635355472564697	0.7738	0.8247	0.7984
17	17:30:34	3	0.1000	0.6036550360892353	0.41597145795822144	0.8543	0.7763	0.8134
18	17:31:18	4	0.1000	0.6191049670993254	0.43589040637016296	0.7991	0.8064	0.8027
19	17:32:01	1	0.0500	0.5214187980939945	0.4104849398136139	0.8147	0.8073	0.8110
20	17:32:46	0	0.0500	0.5213020768915785	0.3867970108985901	0.8359	0.8046	0.8199
21	17:33:31	1	0.0500	0.5030741181609959	0.39791521430015564	0.8150	0.8210	0.8180
22	17:34:15	0	0.0500	0.5007759187927191	0.3781245946884155	0.8501	0.8183	0.8339
23	17:35:01	1	0.0500	0.48692736750061827	0.3931615948677063	0.8207	0.8192	0.8199
24	17:35:44	0	0.0500	0.47551904559863367	0.36627456545829773	0.8506	0.8265	0.8384
25	17:36:30	1	0.0500	0.47582275816507036	0.38111454248428345	0.8360	0.8192	0.8275
26	17:37:13	2	0.0500	0.4675071149122441	0.37455853819847107	0.8416	0.8347	0.8381
27	17:37:57	3	0.0500	0.46516883209476184	0.38284435868263245	0.8258	0.8183	0.8220
28	17:38:41	4	0.0500	0.46608044556074446	0.37964338064193726	0.8257	0.8438	0.8347
29	17:39:25	1	0.0250	0.43795496358097286	0.377539724111557	0.8238	0.8329	0.8283
30	17:40:09	0	0.0250	0.418368788695648	0.3655804693698883	0.8657	0.8183	0.8413
31	17:40:55	1	0.0250	0.43458949824816534	0.3665507435798645	0.8472	0.8201	0.8334
32	17:41:39	2	0.0250	0.41390613946078836	0.4217293858528137	0.7895	0.8393	0.8136
33	17:42:23	3	0.0250	0.4252467429714984	0.36818984150886536	0.8358	0.8365	0.8361
34	17:43:07	0	0.0250	0.41272687062021646	0.34901905059814453	0.8660	0.8265	0.8458
35	17:43:52	1	0.0250	0.42258196763009176	0.35619407892227173	0.8613	0.8110	0.8354
