EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	16:05:29	0	0.1000	6.391113065972048	2.235503673553467	0.7021	0.3863	0.4984
2	16:05:56	0	0.1000	3.041980858410106	1.9921305179595947	0.5336	0.6658	0.5924
3	16:06:24	0	0.1000	2.380067101646872	1.6653320789337158	0.6192	0.6900	0.6526
4	16:06:51	0	0.1000	2.2162745093598084	1.6601526737213135	0.6089	0.7319	0.6647
5	16:07:18	0	0.1000	1.9830174600376802	1.2758455276489258	0.7013	0.7370	0.7187
6	16:07:46	1	0.1000	1.8384398495449739	2.130570650100708	0.4755	0.7637	0.5861
7	16:08:11	0	0.1000	1.7356684660210329	1.1550639867782593	0.7517	0.7116	0.7311
8	16:08:39	1	0.1000	1.6679899720584646	1.4949835538864136	0.5960	0.7967	0.6819
9	16:09:05	0	0.1000	1.5857484712320216	1.1539978981018066	0.7393	0.7497	0.7445
10	16:09:33	1	0.1000	1.5422107328386867	1.4690808057785034	0.6217	0.8018	0.7003
11	16:09:59	0	0.1000	1.4665647506713868	1.0234556198120117	0.7696	0.7344	0.7516
12	16:10:26	1	0.1000	1.452864107314278	1.1290173530578613	0.7468	0.6747	0.7089
13	16:10:52	2	0.1000	1.418259602434495	1.3825900554656982	0.6718	0.7154	0.6929
14	16:11:18	3	0.1000	1.3386338160318487	1.6391959190368652	0.6211	0.7789	0.6911
15	16:11:44	4	0.1000	1.3060980656567742	1.1435580253601074	0.7022	0.7611	0.7305
16	16:12:10	0	0.0500	1.140201256906285	0.9878565073013306	0.8108	0.7078	0.7558
17	16:12:38	0	0.0500	1.1006334038341747	0.9808241724967957	0.7562	0.7802	0.7680
18	16:13:05	0	0.0500	1.0540891703437356	0.9113762974739075	0.8013	0.7637	0.7820
19	16:13:32	0	0.0500	1.0734131669296938	0.9450483322143555	0.8016	0.7649	0.7828
20	16:14:00	1	0.0500	1.005499008473228	0.9328503608703613	0.7622	0.7738	0.7680
21	16:14:26	2	0.0500	0.9964737751904655	0.8973686099052429	0.7775	0.7814	0.7795
22	16:14:52	3	0.0500	0.992007182801471	0.9885401129722595	0.7356	0.8094	0.7707
23	16:15:18	4	0.0500	0.9703238862402299	1.0160220861434937	0.7328	0.8259	0.7766
24	16:15:44	1	0.0250	0.8680171002359951	0.9709587693214417	0.7430	0.8119	0.7760
25	16:16:10	2	0.0250	0.8554555940277436	0.9758115410804749	0.7388	0.8196	0.7771
26	16:16:36	0	0.0250	0.8527131951907102	0.9009068012237549	0.7862	0.8132	0.7995
27	16:17:03	0	0.0250	0.8303978236282573	0.8508394956588745	0.7926	0.8158	0.8040
28	16:17:30	1	0.0250	0.8066001381944208	0.8579388856887817	0.7960	0.8030	0.7995
29	16:17:56	2	0.0250	0.785672674108954	0.8277060389518738	0.7965	0.8107	0.8035
30	16:18:22	3	0.0250	0.7760627948185976	0.8703871965408325	0.7889	0.8119	0.8003
31	16:18:48	0	0.0250	0.7637578927418764	0.8474960327148438	0.8163	0.8018	0.8090
32	16:19:15	0	0.0250	0.7490240544080734	0.8237603902816772	0.8127	0.8107	0.8117
