EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	00:04:06	0	0.1000	3.5830128743368035	1.324558138847351	0.7526	0.6455	0.6949
2	00:05:02	0	0.1000	1.5466957593665402	0.9501206874847412	0.8281	0.7039	0.7610
3	00:05:57	0	0.1000	1.183364914445316	0.6954855918884277	0.8401	0.8145	0.8271
4	00:06:53	1	0.1000	1.013848476725466	0.8654667139053345	0.7514	0.8602	0.8021
5	00:07:38	2	0.1000	0.8841991543769836	0.8164182305335999	0.8657	0.7370	0.7962
6	00:08:23	0	0.1000	0.7745168380877551	0.5950973033905029	0.8662	0.8145	0.8396
7	00:09:19	0	0.1000	0.7588923596283969	0.5539567470550537	0.8524	0.8806	0.8662
8	00:10:15	1	0.1000	0.7186067511053646	0.6002071499824524	0.8489	0.8640	0.8564
9	00:11:00	2	0.1000	0.6796338570468566	0.6011294722557068	0.8613	0.8361	0.8485
10	00:11:44	3	0.1000	0.6131474217947792	0.5931841135025024	0.8476	0.8831	0.8650
11	00:12:30	0	0.1000	0.6055352419614792	0.5498536229133606	0.8747	0.8602	0.8674
12	00:13:26	1	0.1000	0.576688702492153	0.568086564540863	0.8439	0.8793	0.8612
13	00:14:10	0	0.1000	0.555921280208756	0.5453640222549438	0.8625	0.9085	0.8849
14	00:15:06	1	0.1000	0.556816176105948	0.502679169178009	0.8697	0.8818	0.8757
15	00:15:51	2	0.1000	0.5481943488121033	0.5429133176803589	0.8537	0.8971	0.8748
16	00:16:36	3	0.1000	0.5158980539616417	0.5858827233314514	0.8464	0.8755	0.8607
17	00:17:21	4	0.1000	0.4819883374606862	0.5782435536384583	0.8373	0.8895	0.8626
18	00:18:06	1	0.0500	0.4202652978546479	0.5582822561264038	0.8434	0.8831	0.8628
19	00:18:51	2	0.0500	0.40499889622716345	0.5611988306045532	0.8468	0.8780	0.8621
20	00:19:36	3	0.0500	0.4064161809051738	0.5493089556694031	0.8559	0.8831	0.8693
21	00:20:20	4	0.0500	0.3976658658069723	0.5868346691131592	0.8468	0.8780	0.8621
22	00:21:05	1	0.0250	0.375628988532459	0.5345059633255005	0.8588	0.8729	0.8658
23	00:21:50	2	0.0250	0.36811123516629723	0.5251359343528748	0.8611	0.8742	0.8676
24	00:22:35	3	0.0250	0.36922139858498293	0.5338236093521118	0.8598	0.8806	0.8701
25	00:23:21	4	0.0250	0.357642964405172	0.5120080709457397	0.8653	0.8818	0.8735
26	00:24:05	1	0.0125	0.3415991921635235	0.5380041003227234	0.8649	0.8869	0.8758
27	00:24:50	2	0.0125	0.333376864825978	0.5472356677055359	0.8563	0.8780	0.8670
28	00:25:35	3	0.0125	0.3442161237492281	0.5420608520507812	0.8697	0.8818	0.8757
29	00:26:20	4	0.0125	0.3406691312789917	0.5268672704696655	0.8643	0.8742	0.8692
30	00:27:05	1	0.0063	0.33349771692472346	0.5302278995513916	0.8667	0.8844	0.8755
31	00:27:50	2	0.0063	0.3113451477359323	0.5305371284484863	0.8686	0.8818	0.8752
32	00:28:34	3	0.0063	0.3304578220143038	0.5325443148612976	0.8698	0.8831	0.8764
33	00:29:19	4	0.0063	0.31867735771571887	0.5367933511734009	0.8672	0.8882	0.8776
34	00:30:04	1	0.0031	0.3226471987717292	0.5313878059387207	0.8660	0.8869	0.8763
35	00:30:49	2	0.0031	0.3254311954273897	0.5325718522071838	0.8680	0.8856	0.8767
36	00:31:34	3	0.0031	0.3256341939463335	0.53331458568573	0.8688	0.8831	0.8759
37	00:32:19	4	0.0031	0.32606535992201635	0.5349577069282532	0.8677	0.8831	0.8753
38	00:33:03	1	0.0016	0.3233520018703797	0.5304630398750305	0.8703	0.8869	0.8785
39	00:33:48	2	0.0016	0.3261184557395823	0.5350459218025208	0.8688	0.8831	0.8759
40	00:34:32	3	0.0016	0.3176864460987203	0.5346817970275879	0.8688	0.8831	0.8759
41	00:35:17	4	0.0016	0.3118598419077256	0.5407236218452454	0.8662	0.8806	0.8733
42	00:36:02	1	0.0008	0.3227589840398115	0.5389663577079773	0.8667	0.8844	0.8755
43	00:36:47	2	0.0008	0.325733385366552	0.5393401980400085	0.8678	0.8844	0.8760
44	00:37:32	3	0.0008	0.326848587919684	0.5411639213562012	0.8643	0.8818	0.8730
45	00:38:17	4	0.0008	0.32207655521000134	0.5388494729995728	0.8666	0.8831	0.8748
46	00:39:02	1	0.0004	0.314130821648766	0.5389072299003601	0.8666	0.8831	0.8748
47	00:39:46	2	0.0004	0.31932188202353085	0.5389701128005981	0.8653	0.8818	0.8735
48	00:40:31	3	0.0004	0.29949712595518896	0.5412573218345642	0.8630	0.8806	0.8717
49	00:41:16	4	0.0004	0.3249981576905531	0.5407122373580933	0.8621	0.8818	0.8719
50	00:42:01	1	0.0002	0.312953423927812	0.5400658845901489	0.8644	0.8831	0.8737
51	00:42:46	2	0.0002	0.3148117847302381	0.5398752689361572	0.8657	0.8844	0.8749
52	00:43:31	3	0.0002	0.30906181352979994	0.5399219393730164	0.8657	0.8844	0.8749
53	00:44:15	4	0.0002	0.3097204352126402	0.5405864715576172	0.8630	0.8806	0.8717
