EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	14:02:18	0	0.1000	3.79937496218648	1.482569694519043	0.8181	0.8187	0.8184
2	14:03:13	1	0.1000	2.203921188841333	2.3869881629943848	0.6221	0.9446	0.7502
3	14:04:05	2	0.1000	1.8322757161580598	1.6343127489089966	0.7027	0.9364	0.8029
4	14:04:57	0	0.1000	1.6500255532198018	1.096272587776184	0.8725	0.8441	0.8580
5	14:05:52	0	0.1000	1.4997858396776906	1.0241408348083496	0.8753	0.8581	0.8666
6	14:06:47	1	0.1000	1.4345156183609595	1.1939071416854858	0.7840	0.9242	0.8483
7	14:07:38	0	0.1000	1.4048303299016887	0.920274019241333	0.8890	0.8483	0.8681
8	14:08:34	1	0.1000	1.2794163052018706	0.9605015516281128	0.8216	0.9029	0.8603
9	14:09:25	2	0.1000	1.2143891641310045	1.4958956241607666	0.7056	0.9459	0.8083
10	14:10:16	0	0.1000	1.1769035325183734	0.8648396134376526	0.8793	0.8607	0.8699
11	14:11:12	1	0.1000	1.2004697602111976	1.3225361108779907	0.7414	0.9408	0.8293
12	14:12:03	0	0.1000	1.112463643500855	0.97723388671875	0.8331	0.9111	0.8704
13	14:12:58	0	0.1000	1.1048980484475623	0.9456692934036255	0.8538	0.8967	0.8747
14	14:13:53	1	0.1000	1.0894032024837041	1.050735354423523	0.8348	0.9096	0.8706
15	14:14:45	2	0.1000	1.042907658156815	1.1040573120117188	0.7731	0.9358	0.8467
16	14:15:36	0	0.1000	0.9882417271187255	0.8385764956474304	0.8616	0.8896	0.8754
17	14:16:31	1	0.1000	1.0332768205162528	0.8205424547195435	0.8963	0.8496	0.8724
18	14:17:23	2	0.1000	0.9912980167598991	0.8664262294769287	0.9330	0.8090	0.8666
19	14:18:13	0	0.1000	0.957605228974269	0.889414370059967	0.8776	0.8876	0.8826
20	14:19:10	1	0.1000	0.9640321839939464	0.945125162601471	0.8324	0.9106	0.8698
21	14:20:00	0	0.1000	0.936450699200997	0.8483194708824158	0.8946	0.8757	0.8850
22	14:20:57	1	0.1000	0.9423470194939967	0.7856858372688293	0.8928	0.8754	0.8840
23	14:21:48	2	0.1000	0.9072798265443816	0.7978244423866272	0.8645	0.8882	0.8762
24	14:22:39	3	0.1000	0.8817678410690147	0.8180321455001831	0.8699	0.8880	0.8789
25	14:23:30	4	0.1000	0.8774834762920033	1.0428777933120728	0.8085	0.9220	0.8615
26	14:24:21	1	0.0500	0.8093308814755686	0.8515959978103638	0.8520	0.9086	0.8794
27	14:25:13	2	0.0500	0.7773002627846244	0.8479384779930115	0.8656	0.9032	0.8840
28	14:26:04	3	0.0500	0.7255144215130306	0.7889643311500549	0.8575	0.8961	0.8764
29	14:26:56	4	0.0500	0.7217946771558348	0.8649386167526245	0.8419	0.9112	0.8752
30	14:27:47	1	0.0250	0.6931520683782084	0.8255538940429688	0.8661	0.9021	0.8837
31	14:28:37	2	0.0250	0.6803769404654736	0.7916844487190247	0.8643	0.8961	0.8799
32	14:29:29	0	0.0250	0.652830908765326	0.7611348032951355	0.8826	0.8906	0.8865
33	14:30:24	0	0.0250	0.6670963034763203	0.7536054253578186	0.8925	0.8838	0.8881
34	14:31:18	1	0.0250	0.6519054697526918	0.770229160785675	0.8672	0.8985	0.8825
35	14:32:09	2	0.0250	0.645043531914691	0.7870820164680481	0.8816	0.8895	0.8855
36	14:33:01	0	0.0250	0.6298938449862954	0.7765706181526184	0.8839	0.8968	0.8903
37	14:33:56	1	0.0250	0.6302518809175158	0.7553461790084839	0.8772	0.8988	0.8879
38	14:34:47	2	0.0250	0.6142607070766128	0.7406365275382996	0.9183	0.8621	0.8893
39	14:35:39	0	0.0250	0.601546559300456	0.7680409550666809	0.8780	0.9049	0.8912
40	14:36:33	0	0.0250	0.6294593385883145	0.7352706789970398	0.9027	0.8864	0.8945
41	14:37:29	0	0.0250	0.602589584522314	0.7410678863525391	0.8935	0.8980	0.8958
42	14:38:25	1	0.0250	0.5907210092861336	0.778019368648529	0.8615	0.9123	0.8862
43	14:39:17	2	0.0250	0.5718484570930055	0.7553821206092834	0.8582	0.9099	0.8833
44	14:40:08	3	0.0250	0.5879852465399495	0.7450255155563354	0.8940	0.8935	0.8938
45	14:40:59	4	0.0250	0.5791870199300192	0.765403687953949	0.8719	0.9038	0.8876
