EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	14:53:07	0	0.1000	1.4157815669903382	0.8676663041114807	0.8537	0.7867	0.8189
2	15:17:27	0	0.1000	1.0060940785415282	0.7661800980567932	0.8607	0.8194	0.8396
3	15:41:01	0	0.1000	0.9267088938060574	0.7327264547348022	0.8536	0.8443	0.8489
4	16:05:03	0	0.1000	0.8858339157215136	0.7218348979949951	0.8368	0.8678	0.8520
5	16:29:11	0	0.1000	0.8519906559029568	0.7029607892036438	0.8454	0.8680	0.8565
6	16:52:00	0	0.1000	0.8216260269890334	0.6875287890434265	0.8507	0.8674	0.8589
7	17:17:49	1	0.1000	0.802375803480138	0.695162296295166	0.8533	0.8595	0.8564
8	17:45:13	0	0.1000	0.7804967519299699	0.6850762367248535	0.8450	0.8745	0.8595
9	18:09:22	0	0.1000	0.7669835198504419	0.6680812239646912	0.8587	0.8610	0.8598
10	18:33:36	1	0.1000	0.7512210350703262	0.7179234623908997	0.8395	0.8746	0.8567
11	18:57:09	0	0.1000	0.7418000233165895	0.6638013124465942	0.8482	0.8799	0.8638
12	19:20:03	1	0.1000	0.7288362980022415	0.6803184747695923	0.8480	0.8766	0.8621
13	19:42:55	0	0.1000	0.7197733698294295	0.6561909914016724	0.8642	0.8697	0.8670
14	20:06:17	1	0.1000	0.7106996062135765	0.702426016330719	0.8485	0.8693	0.8588
15	20:27:58	2	0.1000	0.7062571289462014	0.6558449268341064	0.8552	0.8750	0.8650
16	20:50:25	0	0.1000	0.6978378571547225	0.6563155055046082	0.8643	0.8729	0.8686
17	21:13:28	1	0.1000	0.689570635792133	0.6391600370407104	0.8663	0.8685	0.8674
18	21:35:57	2	0.1000	0.680926567632715	0.6770896911621094	0.8382	0.8925	0.8645
19	21:58:18	3	0.1000	0.6752681517351103	0.6483046412467957	0.8568	0.8780	0.8673
