EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	16:54:23	0	0.1000	6.163900315950787	2.594892740249634	0.3270	0.1465	0.2023
2	16:57:16	0	0.1000	3.0719998885714817	2.524095296859741	0.4129	0.2240	0.2904
3	17:00:08	0	0.1000	2.2708330635040523	1.385358214378357	0.5053	0.5242	0.5146
4	17:03:02	1	0.1000	1.7910269157280998	3.0502419471740723	0.2509	0.4346	0.3181
5	17:05:41	0	0.1000	1.4888610611832331	0.9817387461662292	0.6606	0.5303	0.5883
6	17:08:33	0	0.1000	1.4094711956523713	0.9463954567909241	0.6700	0.5702	0.6161
7	17:11:26	0	0.1000	1.2969139136019208	1.047526478767395	0.7102	0.5460	0.6174
8	17:14:19	1	0.1000	1.1662030064397388	1.5641868114471436	0.6563	0.4346	0.5229
9	17:16:59	2	0.1000	1.155566717613311	1.2754623889923096	0.7062	0.4685	0.5633
10	17:19:38	0	0.1000	1.0825000750167029	0.8916202783584595	0.6505	0.5993	0.6238
11	17:22:30	1	0.1000	1.0392430367923917	1.4448422193527222	0.7003	0.4867	0.5743
12	17:25:10	2	0.1000	1.0171780754176398	0.8731426000595093	0.6671	0.5751	0.6177
13	17:27:50	0	0.1000	0.9560010471987346	0.9013094305992126	0.6829	0.5763	0.6251
14	17:30:43	0	0.1000	0.9264884373971394	0.8664394021034241	0.6770	0.5811	0.6254
15	17:33:37	0	0.1000	0.900123820039961	0.8621354699134827	0.7106	0.5617	0.6275
16	17:36:30	1	0.1000	0.8953868639847589	0.9751020073890686	0.7167	0.5545	0.6253
17	17:39:09	0	0.1000	0.8309716458358462	0.8925670385360718	0.6884	0.6017	0.6421
18	17:42:04	1	0.1000	0.8013178242577447	0.8863535523414612	0.6355	0.5932	0.6137
19	17:44:44	2	0.1000	0.7499128087172433	0.8919318318367004	0.6681	0.5557	0.6067
20	17:47:24	3	0.1000	0.8039870093739222	0.8736359477043152	0.7061	0.5847	0.6397
21	17:50:03	0	0.1000	0.7736427649619088	1.1001863479614258	0.7528	0.5714	0.6497
22	17:52:56	1	0.1000	0.7673302125363123	1.022628664970398	0.7104	0.5436	0.6159
23	17:55:36	2	0.1000	0.7636707678200707	0.832511842250824	0.7013	0.5969	0.6449
24	17:58:15	3	0.1000	0.7084937674658639	1.1469570398330688	0.7173	0.5375	0.6145
25	18:00:55	4	0.1000	0.6726008305473933	0.7943491339683533	0.7004	0.5775	0.6330
26	18:03:34	1	0.0500	0.5037482404519641	0.7666389346122742	0.6925	0.5944	0.6397
27	18:06:14	2	0.0500	0.4916237815978035	0.7492958903312683	0.6965	0.6029	0.6463
28	18:08:55	0	0.0500	0.4663729297736334	0.7386055588722229	0.7080	0.6077	0.6541
29	18:11:49	0	0.0500	0.46769523885515	0.7380083799362183	0.7147	0.6186	0.6632
30	18:14:42	0	0.0500	0.46156094909187345	0.7726821899414062	0.7318	0.6077	0.6640
31	18:17:36	1	0.0500	0.4421415981792268	0.8667793869972229	0.7337	0.5569	0.6332
32	18:20:15	2	0.0500	0.4521442284659734	0.780870795249939	0.7404	0.5835	0.6527
33	18:22:56	3	0.0500	0.4485700213719928	0.8404595851898193	0.7214	0.5956	0.6525
34	18:25:35	4	0.0500	0.43788947037288123	0.736571192741394	0.7194	0.6114	0.6610
35	18:28:14	1	0.0250	0.40684276119111074	0.7009655237197876	0.7133	0.6114	0.6584
36	18:30:54	2	0.0250	0.393349910539294	0.7528041005134583	0.7325	0.6065	0.6636
37	18:33:34	3	0.0250	0.3838666336877005	0.6891613006591797	0.7070	0.6223	0.6619
38	18:36:13	0	0.0250	0.3878770676397142	0.6788381934165955	0.7193	0.6174	0.6645
39	18:39:06	1	0.0250	0.3653376231117854	0.7102097868919373	0.6781	0.6247	0.6503
40	18:41:45	2	0.0250	0.37487139285556853	0.7043524384498596	0.7107	0.6126	0.6580
41	18:44:24	0	0.0250	0.37802270996192144	0.6900493502616882	0.7223	0.6235	0.6693
42	18:47:15	1	0.0250	0.3663696452265694	0.7430406212806702	0.7297	0.6077	0.6631
43	18:49:55	2	0.0250	0.365930866438245	0.7007572650909424	0.7103	0.6114	0.6571
44	18:52:36	3	0.0250	0.3660912795199288	0.6945798397064209	0.7043	0.6199	0.6594
45	18:55:15	4	0.0250	0.35719836694853646	0.6994461417198181	0.7014	0.6199	0.6581
46	18:57:54	1	0.0125	0.3494432437041449	0.7101272344589233	0.7247	0.6150	0.6654
47	19:00:34	2	0.0125	0.346951700297613	0.7020600438117981	0.7274	0.6138	0.6658
48	19:03:13	3	0.0125	0.33432463719731287	0.6997347474098206	0.7131	0.6199	0.6632
49	19:05:53	4	0.0125	0.35037979266000174	0.7067747116088867	0.7225	0.6114	0.6623
50	19:08:32	0	0.0063	0.3389688099187518	0.7030501365661621	0.7329	0.6211	0.6723
51	19:11:26	1	0.0063	0.32452927761607697	0.6983716487884521	0.7206	0.6150	0.6636
52	19:14:06	2	0.0063	0.31636222932073804	0.7015702128410339	0.7202	0.6138	0.6627
53	19:16:45	3	0.0063	0.33464598471210116	0.6916781067848206	0.7229	0.6223	0.6688
54	19:19:24	4	0.0063	0.32771216479558796	0.7158409357070923	0.7284	0.6138	0.6662
55	19:22:04	1	0.0031	0.3285916019053686	0.7003000974655151	0.7212	0.6138	0.6632
56	19:24:42	2	0.0031	0.32104282549449376	0.6966099143028259	0.7251	0.6162	0.6662
57	19:27:21	3	0.0031	0.32166330795439463	0.692192554473877	0.7195	0.6150	0.6632
58	19:30:00	4	0.0031	0.3315031101779332	0.6986508965492249	0.7243	0.6138	0.6645
59	19:32:39	1	0.0016	0.32024328703918153	0.6909368634223938	0.7167	0.6126	0.6606
60	19:35:18	2	0.0016	0.3158109369259032	0.6939546465873718	0.7179	0.6102	0.6597
61	19:37:58	3	0.0016	0.32921743232106404	0.6920885443687439	0.7169	0.6102	0.6593
62	19:40:36	4	0.0016	0.3249085481204684	0.6931586861610413	0.7214	0.6114	0.6619
63	19:43:14	1	0.0008	0.31879415644539727	0.6941446661949158	0.7169	0.6102	0.6593
64	19:45:53	2	0.0008	0.31357473078228176	0.6973418593406677	0.7225	0.6114	0.6623
65	19:48:32	3	0.0008	0.32505395261068193	0.6906547546386719	0.7171	0.6138	0.6614
66	19:51:11	4	0.0008	0.3237868161665069	0.6924070119857788	0.7191	0.6138	0.6623
67	19:53:50	1	0.0004	0.3326803729411155	0.6910309195518494	0.7189	0.6162	0.6636
68	19:56:30	2	0.0004	0.3238386271491883	0.6925336122512817	0.7191	0.6138	0.6623
69	19:59:08	3	0.0004	0.3307010296318266	0.6936527490615845	0.7190	0.6102	0.6601
70	20:01:47	4	0.0004	0.3245140999555588	0.6909576058387756	0.7171	0.6138	0.6614
71	20:04:26	1	0.0002	0.31800231924132694	0.692470908164978	0.7183	0.6114	0.6606
72	20:07:06	2	0.0002	0.3064259321916671	0.6922255754470825	0.7177	0.6126	0.6610
73	20:09:44	3	0.0002	0.3186869238104139	0.6917689442634583	0.7167	0.6126	0.6606
74	20:12:23	4	0.0002	0.3107401884737469	0.6920157074928284	0.7181	0.6138	0.6619
