EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	15:32:25	0	0.1000	3.9839202729885854	3.0694379806518555	0.1990	0.5078	0.2859
2	15:35:26	0	0.1000	2.2593360496538932	0.8390985131263733	0.5413	0.4922	0.5156
3	15:38:26	0	0.1000	1.478886269383296	0.7237820029258728	0.7611	0.4870	0.5940
4	15:41:23	0	0.1000	1.1838635130081805	0.5766934752464294	0.6883	0.6580	0.6728
5	15:44:27	1	0.1000	1.002379205299769	0.488827645778656	0.7350	0.6036	0.6629
6	15:47:18	2	0.1000	0.9081222906381733	0.5675140619277954	0.8051	0.5777	0.6727
7	15:50:04	0	0.1000	0.873033379312593	0.4251117706298828	0.7834	0.6373	0.7029
8	15:53:04	1	0.1000	0.8692475125240308	0.5033374428749084	0.7310	0.6477	0.6868
9	15:55:49	2	0.1000	0.764686901274146	3.227083683013916	0.1613	0.6114	0.2553
10	15:58:36	3	0.1000	0.7521759141294934	0.4264727830886841	0.7071	0.6943	0.7007
11	16:01:25	0	0.1000	0.7622601218451527	0.3794699013233185	0.7963	0.6684	0.7268
12	16:04:27	1	0.1000	0.7323048032563308	0.4645494222640991	0.6815	0.6762	0.6788
13	16:07:13	2	0.1000	0.6294256160064925	0.43134331703186035	0.7963	0.6684	0.7268
14	16:09:59	3	0.1000	0.6309045380839734	0.5948389768600464	0.7958	0.5959	0.6815
15	16:12:45	0	0.1000	0.6264736956937186	0.36463189125061035	0.8397	0.6788	0.7507
16	16:15:46	1	0.1000	0.6292737482763757	0.34892523288726807	0.7829	0.7098	0.7446
17	16:18:32	2	0.1000	0.5809154811791118	0.5097938179969788	0.8587	0.6295	0.7265
18	16:21:16	3	0.1000	0.5748158988534097	0.3482459485530853	0.7507	0.7176	0.7338
19	16:24:00	4	0.1000	0.5786627311971868	0.4279033839702606	0.6707	0.7228	0.6958
20	16:26:44	0	0.0500	0.3493666923531918	0.29868510365486145	0.8107	0.7098	0.7569
21	16:29:43	1	0.0500	0.3339576627767198	0.28692710399627686	0.7920	0.7202	0.7544
22	16:32:26	0	0.0500	0.33492961894942674	0.2863966226577759	0.8511	0.7254	0.7832
23	16:35:28	1	0.0500	0.3354655150148936	0.27404266595840454	0.7955	0.7254	0.7588
24	16:38:17	0	0.0500	0.3122298180309583	0.2661946713924408	0.8348	0.7461	0.7880
25	16:41:18	1	0.0500	0.31842529059016966	0.38540002703666687	0.8512	0.6373	0.7289
26	16:44:02	2	0.0500	0.3052144182326278	0.27243736386299133	0.8520	0.7306	0.7866
27	16:46:45	3	0.0500	0.30606030941383217	0.28916653990745544	0.8492	0.6710	0.7496
28	16:49:29	4	0.0500	0.3217204475197299	0.29791125655174255	0.7657	0.7280	0.7463
29	16:52:13	1	0.0250	0.27051725796771275	0.26671141386032104	0.8232	0.7358	0.7770
30	16:54:56	2	0.0250	0.25122414496625106	0.2579886317253113	0.8161	0.7358	0.7738
31	16:57:39	3	0.0250	0.24529423557665656	0.2707740068435669	0.8589	0.7098	0.7773
32	17:00:21	0	0.0250	0.25878071112318846	0.26426398754119873	0.8727	0.7280	0.7938
33	17:03:17	1	0.0250	0.25322263269775713	0.2527182996273041	0.8487	0.7409	0.7911
34	17:06:04	2	0.0250	0.22820881681756167	0.27389705181121826	0.8571	0.7306	0.7888
35	17:08:51	3	0.0250	0.2506456625031827	0.2693673074245453	0.8549	0.7021	0.7710
36	17:11:34	4	0.0250	0.2521388619484199	0.3417009115219116	0.6953	0.7746	0.7328
37	17:14:15	1	0.0125	0.2300612290264297	0.2651958465576172	0.8688	0.7202	0.7875
38	17:16:57	0	0.0125	0.2285715625577586	0.2523154020309448	0.8464	0.7565	0.7989
39	17:19:53	1	0.0125	0.23320209284000637	0.2543197274208069	0.8554	0.7358	0.7911
40	17:22:34	0	0.0125	0.23537077546867083	0.2503452003002167	0.8580	0.7513	0.8011
41	17:25:30	1	0.0125	0.21842537082287958	0.25287654995918274	0.8571	0.7461	0.7978
42	17:28:12	2	0.0125	0.2236465050322135	0.25890591740608215	0.8665	0.7228	0.7881
43	17:30:54	3	0.0125	0.22215426411935155	0.24685035645961761	0.8509	0.7539	0.7995
44	17:33:35	4	0.0125	0.2261465577683105	0.2460644245147705	0.8343	0.7565	0.7935
45	17:36:17	1	0.0063	0.21922412379221481	0.24691762030124664	0.8101	0.7513	0.7796
46	17:38:59	2	0.0063	0.2189383134012312	0.2501615285873413	0.8089	0.7565	0.7818
47	17:41:41	3	0.0063	0.20849633048694335	0.24838462471961975	0.8521	0.7461	0.7956
48	17:44:22	4	0.0063	0.21989487022815454	0.24915947020053864	0.8159	0.7461	0.7794
49	17:47:04	1	0.0031	0.2074473903377228	0.248921737074852	0.8329	0.7487	0.7885
50	17:49:44	2	0.0031	0.20937479420515437	0.24972569942474365	0.8464	0.7565	0.7989
51	17:52:26	3	0.0031	0.2138891939459176	0.25092703104019165	0.8516	0.7435	0.7939
52	17:55:09	4	0.0031	0.20563251947908193	0.24925707280635834	0.8272	0.7565	0.7903
53	17:57:51	1	0.0016	0.21946887690632322	0.24714621901512146	0.8382	0.7513	0.7923
54	18:00:32	2	0.0016	0.20914569114069206	0.2467169314622879	0.8314	0.7539	0.7908
55	18:03:15	3	0.0016	0.20753929635574078	0.24679507315158844	0.8406	0.7513	0.7934
56	18:05:56	4	0.0016	0.20307830994405718	0.24606852233409882	0.8406	0.7513	0.7934
57	18:08:37	1	0.0008	0.2192804137927985	0.24595139920711517	0.8435	0.7539	0.7962
58	18:11:19	2	0.0008	0.20799359511058532	0.2458147257566452	0.8357	0.7513	0.7913
59	18:14:01	3	0.0008	0.22163471696331957	0.2459677904844284	0.8406	0.7513	0.7934
60	18:16:43	4	0.0008	0.2027521082039537	0.245788112282753	0.8435	0.7539	0.7962
61	18:19:24	1	0.0004	0.2063168095757595	0.24579109251499176	0.8459	0.7539	0.7973
62	18:22:05	2	0.0004	0.20874015776714935	0.24569620192050934	0.8357	0.7513	0.7913
63	18:24:46	3	0.0004	0.2212427199634265	0.24568818509578705	0.8357	0.7513	0.7913
64	18:27:27	4	0.0004	0.21015069355785287	0.24569453299045563	0.8357	0.7513	0.7913
65	18:30:08	1	0.0002	0.21787521831667908	0.2458365112543106	0.8430	0.7513	0.7945
66	18:32:49	2	0.0002	0.20299627069021842	0.2458505779504776	0.8430	0.7513	0.7945
67	18:35:29	3	0.0002	0.19782556046886504	0.24604852497577667	0.8430	0.7513	0.7945
68	18:38:10	4	0.0002	0.208602138307401	0.24608518183231354	0.8430	0.7513	0.7945
