EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	17:46:04	0	0.1000	2.5314296107961094	1.5373178720474243	0.0128	0.0035	0.0055
2	17:49:06	0	0.1000	0.996392941797228	0.4187513589859009	0.5709	0.5174	0.5428
3	17:52:05	1	0.1000	0.6434359380677576	0.6368104815483093	0.7519	0.3368	0.4652
4	17:54:50	0	0.1000	0.5607891995284625	0.29572877287864685	0.6693	0.5972	0.6312
5	17:57:47	1	0.1000	0.5151849148508897	0.5970602631568909	0.7808	0.1979	0.3158
6	18:00:31	0	0.1000	0.4577728520179617	0.24059425294399261	0.6559	0.6354	0.6455
7	18:03:28	0	0.1000	0.4259372009285565	0.2200847566127777	0.6871	0.6632	0.6749
8	18:06:26	1	0.1000	0.3951850546564802	0.28387701511383057	0.8011	0.5174	0.6287
9	18:09:10	0	0.1000	0.4044150793487002	0.2208390235900879	0.7107	0.7847	0.7459
10	18:12:08	1	0.1000	0.34967123453146237	0.2713014483451843	0.7212	0.5660	0.6342
11	18:14:51	2	0.1000	0.34855982278208	0.19376568496227264	0.7500	0.6562	0.7000
12	18:17:37	3	0.1000	0.3209101919750435	0.3372019827365875	0.8790	0.3785	0.5291
13	18:20:21	4	0.1000	0.32499014597888276	0.19211144745349884	0.7079	0.7743	0.7396
14	18:23:06	0	0.0500	0.24191344307507842	0.1873023360967636	0.7125	0.7917	0.7500
15	18:26:05	0	0.0500	0.22377459008865597	0.15852873027324677	0.7653	0.7361	0.7504
16	18:29:03	1	0.0500	0.22074758450626206	0.18950878083705902	0.6972	0.7674	0.7306
17	18:31:47	2	0.0500	0.21355169553741765	0.18936775624752045	0.7939	0.6285	0.7016
18	18:34:32	3	0.0500	0.21614013378709834	0.1811247617006302	0.7582	0.7188	0.7380
19	18:37:16	0	0.0500	0.2003835142125904	0.1497664451599121	0.7782	0.7674	0.7727
20	18:40:14	1	0.0500	0.20742704086356029	0.1519465148448944	0.7807	0.7292	0.7540
21	18:42:58	2	0.0500	0.19266908272493596	0.15418784320354462	0.7599	0.7361	0.7478
22	18:45:42	3	0.0500	0.19896674151517754	0.14656180143356323	0.7582	0.7188	0.7380
23	18:48:27	4	0.0500	0.19550895121030298	0.1483592391014099	0.7590	0.7326	0.7456
24	18:51:11	0	0.0250	0.1769902347397281	0.14251555502414703	0.7797	0.7986	0.7890
25	18:54:10	1	0.0250	0.18674223124980927	0.1405879259109497	0.7941	0.7500	0.7714
26	18:56:54	2	0.0250	0.16970244568530296	0.13635185360908508	0.7870	0.7569	0.7717
27	18:59:38	3	0.0250	0.17254208570176904	0.13730180263519287	0.7929	0.7708	0.7817
28	19:02:22	4	0.0250	0.1693142207345245	0.1388755440711975	0.7500	0.7708	0.7603
29	19:05:06	1	0.0125	0.16900332248696712	0.14190170168876648	0.8081	0.7604	0.7835
30	19:07:52	2	0.0125	0.15847147459333594	0.13972154259681702	0.7926	0.7431	0.7670
31	19:10:35	3	0.0125	0.15272944712526745	0.14231102168560028	0.8120	0.7500	0.7798
32	19:13:19	4	0.0125	0.16538596933351415	0.14221608638763428	0.8118	0.7188	0.7624
